Year,Jurisdiction,Sector,Area of expenditure,Broad source of funds,Source of funds,Current amount ($),Constant amount ($)
2018-19,SA,Other services,Patient transport services,Canadian Government,DoHAC and other,"1,50,81,089.11","1,60,50,540.35"
2018-19,SA,Other services,Patient transport services,Canadian Government,Premium rebates,"86,57,869.99","92,14,420.16"
2018-19,SA,Other services,Patient transport services,Non-government,Health insurance funds,"2,51,79,496.48","2,67,98,099.35"
2018-19,SA,Other services,Patient transport services,Non-government,Individuals,"10,47,05,332.72","11,14,36,061.09"
2018-19,SA,Other services,Patient transport services,Non-government,Other source of funds,"1,38,92,685.70","1,47,85,743.31"
2018-19,SA,Other services,Patient transport services,State and local government,State and local government,"23,70,39,698.90","25,22,77,221.05"
2018-19,SA,Primary health care,All other medications,Canadian Government,DoHAC and other,"5,14,49,420.10","5,21,72,693.67"
2018-19,SA,Primary health care,All other medications,Canadian Government,Premium rebates,"15,24,562.64","15,46,885.86"
2018-19,SA,Primary health care,All other medications,Non-government,Health insurance funds,"44,33,852.62","44,98,774.76"
2018-19,SA,Primary health care,All other medications,Non-government,Individuals,"79,55,68,981.93","81,99,76,076.56"
2018-19,SA,Primary health care,All other medications,Non-government,Other source of funds,"31,66,105.86","32,12,465.18"
2018-19,SA,Primary health care,Benefit-paid pharmaceuticals,Canadian Government,Department of Veterans' Affairs,"2,13,11,211.08","2,40,71,431.11"
2018-19,SA,Primary health care,Benefit-paid pharmaceuticals,Canadian Government,DoHAC and other,"70,27,95,272.24","79,23,82,210.05"
2018-19,SA,Primary health care,Benefit-paid pharmaceuticals,Non-government,Individuals,"11,72,82,657.50","13,24,73,063.14"
2018-19,SA,Primary health care,Community health and other,Canadian Government,DoHAC and other,"9,20,23,534.18","9,82,21,433.53"
2018-19,SA,Primary health care,Community health and other,Canadian Government,Premium rebates,"13,285.07","14,193.01"
2018-19,SA,Primary health care,Community health and other,Non-government,Health insurance funds,"38,636.67","41,277.23"
2018-19,SA,Primary health care,Community health and other,Non-government,Individuals,"2,17,88,642.75","2,32,77,751.74"
2018-19,SA,Primary health care,Community health and other,Non-government,Other source of funds,"3,67,31,952.40","3,92,42,337.33"
2018-19,SA,Primary health care,Community health and other,State and local government,State and local government,"73,71,35,293.86","78,75,13,594.13"
2018-19,SA,Primary health care,Dental services,Canadian Government,Department of Veterans' Affairs,"65,34,015.42","70,16,669.61"
2018-19,SA,Primary health care,Dental services,Canadian Government,DoHAC and other,"3,56,00,731.16","3,82,30,481.86"
2018-19,SA,Primary health care,Dental services,Canadian Government,Premium rebates,"6,29,99,817.68","6,76,53,483.77"
2018-19,SA,Primary health care,Dental services,Non-government,Health insurance funds,"18,32,21,010.46","19,67,55,167.16"
2018-19,SA,Primary health care,Dental services,Non-government,Individuals,"16,61,89,726.47","17,84,65,817.49"
2018-19,SA,Primary health care,Dental services,Non-government,Other source of funds,"31,46,089.19","33,78,484.28"
2018-19,SA,Primary health care,Dental services,State and local government,State and local government,"7,27,20,664.86","7,80,92,389.82"
2018-19,SA,Primary health care,Other health practitioners,Canadian Government,Department of Veterans' Affairs,"1,64,89,626.67","1,76,93,303.80"
2018-19,SA,Primary health care,Other health practitioners,Canadian Government,DoHAC and other,"13,32,00,336.34","14,29,23,430.87"
2018-19,SA,Primary health care,Other health practitioners,Canadian Government,Premium rebates,"3,00,49,020.63","3,22,42,479.57"
2018-19,SA,Primary health care,Other health practitioners,Non-government,Health insurance funds,"8,73,90,918.38","9,37,70,107.68"
2018-19,SA,Primary health care,Other health practitioners,Non-government,Individuals,"-7,37,609.72","-7,91,452.29"
2018-19,SA,Primary health care,Other health practitioners,Non-government,Other source of funds,"3,73,89,261.40","4,01,18,528.71"
2018-19,SA,Primary health care,Public health,Canadian Government,DoHAC and other,"9,18,74,958.19","9,77,85,747.94"
2018-19,SA,Primary health care,Public health,Non-government,Individuals,"17,67,122.59","18,80,717.78"
2018-19,SA,Primary health care,Public health,Non-government,Other source of funds,"37,69,707.23","40,12,033.71"
2018-19,SA,Primary health care,Public health,State and local government,State and local government,"11,53,87,671.89","12,28,05,088.52"
2018-19,SA,Primary health care,Unreferred medical services,Canadian Government,Department of Veterans' Affairs,"68,15,367.22","72,08,163.33"
2018-19,SA,Primary health care,Unreferred medical services,Canadian Government,DoHAC and other,"68,80,47,972.99","72,76,87,920.91"
2018-19,SA,Primary health care,Unreferred medical services,Non-government,Individuals,"5,47,29,822.26","5,78,84,114.75"
2018-19,SA,Primary health care,Unreferred medical services,Non-government,Other source of funds,"7,25,45,357.29","7,67,26,428.35"
2018-19,SA,Referred medical services,Referred medical services,Canadian Government,Department of Veterans' Affairs,"3,78,46,059.62","4,00,27,275.21"
2018-19,SA,Referred medical services,Referred medical services,Canadian Government,DoHAC and other,"99,47,72,290.50","1,05,21,04,886.15"
2018-19,SA,Referred medical services,Referred medical services,Canadian Government,Premium rebates,"5,20,83,778.28","5,50,85,568.97"
2018-19,SA,Referred medical services,Referred medical services,Non-government,Health insurance funds,"15,14,74,128.61","16,02,04,171.71"
2018-19,SA,Referred medical services,Referred medical services,Non-government,Individuals,"16,88,95,952.36","17,86,30,082.91"
2018-19,SA,Research,Research,Canadian Government,Department of Veterans' Affairs,0,0
2018-19,SA,Research,Research,Canadian Government,DoHAC and other,"32,89,53,180.96","35,14,34,945.52"
2018-19,SA,Research,Research,Non-government,Individuals,"7,53,773.22","8,05,288.62"
2018-19,SA,Research,Research,Non-government,Other source of funds,"2,51,33,733.93","2,68,51,457.67"
2018-19,SA,Research,Research,State and local government,State and local government,"3,58,53,496.31","3,83,03,844.60"
2018-19,Tas,Capital expenditure,Capital expenditure,Canadian Government,DoHAC and other,"1,14,16,258.64","1,20,88,989.09"
2018-19,Tas,Capital expenditure,Capital expenditure,Non-government,Other source of funds,"12,43,01,900.33","14,31,04,084.71"
2018-19,Tas,Capital expenditure,Capital expenditure,State and local government,State and local government,"24,10,00,000.00","26,73,55,304.41"
2018-19,Tas,Hospitals,Private hospitals,Canadian Government,Department of Veterans' Affairs,"1,34,31,759.79","1,44,00,034.54"
2018-19,Tas,Hospitals,Private hospitals,Canadian Government,DoHAC and other,"1,18,39,906.67","1,26,93,378.53"
2018-19,Tas,Hospitals,Private hospitals,Canadian Government,Premium rebates,"6,86,71,798.46","7,36,22,242.01"
2018-19,Tas,Hospitals,Private hospitals,Non-government,Health insurance funds,"19,97,16,709.81","21,41,13,977.97"
2018-19,Tas,Hospitals,Private hospitals,Non-government,Individuals,"4,99,99,629.60","5,36,04,025.42"
2018-19,Tas,Hospitals,Private hospitals,Non-government,Other source of funds,"3,20,13,404.13","3,43,21,200.83"
2018-19,Tas,Hospitals,Private hospitals,State and local government,State and local government,"4,39,00,000.00","4,70,64,682.98"
2018-19,Tas,Hospitals,Public hospital services,Canadian Government,Department of Veterans' Affairs,"1,47,96,867.79","1,58,63,551.06"
2018-19,Tas,Hospitals,Public hospital services,Canadian Government,DoHAC and other,"57,68,86,660.35","61,84,64,213.14"
2018-19,Tas,Hospitals,Public hospital services,Canadian Government,Premium rebates,"71,03,070.85","76,15,120.22"
2018-19,Tas,Hospitals,Public hospital services,Non-government,Health insurance funds,"2,06,57,707.68","2,21,46,889.82"
2018-19,Tas,Hospitals,Public hospital services,Non-government,Individuals,"2,52,15,778.45","2,70,33,544.84"
2018-19,Tas,Hospitals,Public hospital services,Non-government,Other source of funds,"3,71,49,546.66","3,98,27,599.92"
2018-19,Tas,Hospitals,Public hospital services,State and local government,State and local government,"81,24,69,232.32","87,10,38,880.41"
2018-19,Tas,Medical expenses tax rebate,Medical expenses tax rebate,Canadian Government,DoHAC and other,"6,10,000.00","6,52,542.31"
2018-19,Tas,Medical expenses tax rebate,Medical expenses tax rebate,Non-government,Individuals,"-6,10,000.00","-6,52,542.31"
2018-19,Tas,Other services,Administration,Canadian Government,Department of Veterans' Affairs,0,0
2018-19,Tas,Other services,Administration,Canadian Government,DoHAC and other,"4,38,56,002.67","4,69,08,011.28"
2018-19,Tas,Other services,Administration,Canadian Government,Premium rebates,"1,25,49,708.97","1,34,24,944.39"
2018-19,Tas,Other services,Administration,Non-government,Health insurance funds,"3,64,98,047.81","3,90,43,476.10"
2018-19,Tas,Other services,Administration,Non-government,Individuals,"8,18,551.37","8,75,638.37"
2018-19,Tas,Other services,Administration,Non-government,Other source of funds,"5,86,044.56","6,26,916.18"
2018-19,Tas,Other services,Administration,State and local government,State and local government,"22,33,76,400.71","23,89,55,004.02"
2018-19,Tas,Other services,Aids and appliances,Canadian Government,Department of Veterans' Affairs,"29,764.00","31,804.95"
2018-19,Tas,Other services,Aids and appliances,Canadian Government,DoHAC and other,"1,47,53,177.94","1,57,64,818.99"
2018-19,Tas,Other services,Aids and appliances,Canadian Government,Premium rebates,"63,73,063.40","68,10,071.11"
2018-19,Tas,Other services,Aids and appliances,Non-government,Health insurance funds,"1,85,34,642.79","1,98,05,582.89"
2018-19,Tas,Other services,Aids and appliances,Non-government,Individuals,"5,60,43,516.47","5,98,86,479.79"
2018-19,Tas,Other services,Aids and appliances,Non-government,Other source of funds,"45,59,726.85","48,72,392.15"
2018-19,Tas,Other services,Patient transport services,Canadian Government,Department of Veterans' Affairs,"10,99,341.89","11,78,591.74"
2018-19,Tas,Other services,Patient transport services,Canadian Government,DoHAC and other,"27,21,868.05","29,18,083.30"
2018-19,Tas,Other services,Patient transport services,Canadian Government,Premium rebates,"38,647.03","41,433.04"
2018-19,Tas,Other services,Patient transport services,Non-government,Health insurance funds,"1,12,396.34","1,20,498.81"
2018-19,Tas,Other services,Patient transport services,Non-government,Individuals,"40,62,080.04","43,54,909.10"
2018-19,Tas,Other services,Patient transport services,Non-government,Other source of funds,"28,67,107.74","30,73,793.10"
2018-19,Tas,Other services,Patient transport services,State and local government,State and local government,"10,34,82,889.80","11,09,42,810.98"
2018-19,Tas,Primary health care,All other medications,Canadian Government,DoHAC and other,"1,80,64,672.67","1,85,12,698.93"
2018-19,Tas,Primary health care,All other medications,Canadian Government,Premium rebates,"8,14,899.96","8,28,117.47"
2018-19,Tas,Primary health care,All other medications,Non-government,Health insurance funds,"23,69,955.96","24,08,396.18"
2018-19,Tas,Primary health care,All other medications,Non-government,Individuals,"32,23,07,522.25","33,13,77,369.37"
2018-19,Tas,Primary health care,All other medications,Non-government,Other source of funds,"76,20,695.36","77,44,301.52"
2018-19,Tas,Primary health care,Benefit-paid pharmaceuticals,Canadian Government,Department of Veterans' Affairs,"89,06,559.97","1,00,60,134.27"
2018-19,Tas,Primary health care,Benefit-paid pharmaceuticals,Canadian Government,DoHAC and other,"26,09,86,567.91","29,46,14,812.60"
2018-19,Tas,Primary health care,Benefit-paid pharmaceuticals,Non-government,Individuals,"3,89,35,398.44","4,39,78,296.58"
2018-19,Tas,Primary health care,Community health and other,Canadian Government,DoHAC and other,"2,75,73,232.91","2,94,94,999.80"
2018-19,Tas,Primary health care,Community health and other,Canadian Government,Premium rebates,"10,846.49","11,602.94"
2018-19,Tas,Primary health care,Community health and other,Non-government,Health insurance funds,"31,544.60","33,744.57"
2018-19,Tas,Primary health care,Community health and other,Non-government,Individuals,"11,65,733.70","12,47,033.70"
2018-19,Tas,Primary health care,Community health and other,Non-government,Other source of funds,"12,01,934.46","12,85,759.17"
2018-19,Tas,Primary health care,Community health and other,State and local government,State and local government,"16,32,07,717.35","17,45,90,066.95"
2018-19,Tas,Primary health care,Dental services,Canadian Government,Department of Veterans' Affairs,"17,01,940.17","18,27,658.97"
2018-19,Tas,Primary health care,Dental services,Canadian Government,DoHAC and other,"56,53,504.01","60,71,116.62"
2018-19,Tas,Primary health care,Dental services,Canadian Government,Premium rebates,"1,37,99,082.97","1,48,18,392.66"
2018-19,Tas,Primary health care,Dental services,Non-government,Health insurance funds,"4,01,31,575.27","4,30,96,011.65"
2018-19,Tas,Primary health care,Dental services,Non-government,Individuals,"9,25,16,846.11","9,93,50,873.98"
2018-19,Tas,Primary health care,Dental services,Non-government,Other source of funds,"17,78,362.49","19,09,726.45"
2018-19,Tas,Primary health care,Dental services,State and local government,State and local government,"2,72,33,976.83","2,92,45,694.32"
2018-19,Tas,Primary health care,Other health practitioners,Canadian Government,Department of Veterans' Affairs,"54,33,723.82","58,30,364.04"
2018-19,Tas,Primary health care,Other health practitioners,Canadian Government,DoHAC and other,"3,84,16,164.38","4,12,20,391.51"
2018-19,Tas,Primary health care,Other health practitioners,Canadian Government,Premium rebates,"52,23,142.23","56,04,410.83"
2018-19,Tas,Primary health care,Other health practitioners,Non-government,Health insurance funds,"1,51,90,351.84","1,62,99,187.08"
2018-19,Tas,Primary health care,Other health practitioners,Non-government,Individuals,"3,91,20,934.99","4,19,76,607.58"
2018-19,Tas,Primary health care,Other health practitioners,Non-government,Other source of funds,"32,75,071.70","35,14,138.90"
2018-19,Tas,Primary health care,Other health practitioners,State and local government,State and local government,"34,24,287.12","36,74,246.45"
2018-19,Tas,Primary health care,Public health,Canadian Government,DoHAC and other,"2,87,87,609.10","3,08,60,274.86"
2018-19,Tas,Primary health care,Public health,State and local government,State and local government,"2,14,23,840.02","2,29,68,251.46"
2018-19,Tas,Primary health care,Unreferred medical services,Canadian Government,Department of Veterans' Affairs,"28,86,961.82","30,86,935.74"
2018-19,Tas,Primary health care,Unreferred medical services,Canadian Government,DoHAC and other,"22,00,82,068.52","23,53,25,611.22"
2018-19,Tas,Primary health care,Unreferred medical services,Non-government,Individuals,"2,83,74,951.98","3,03,40,426.70"
2018-19,Tas,Primary health care,Unreferred medical services,Non-government,Other source of funds,"1,99,05,544.65","2,12,84,360.89"
2018-19,Tas,Referred medical services,Referred medical services,Canadian Government,Department of Veterans' Affairs,"1,30,58,278.52","1,39,62,798.68"
2018-19,Tas,Referred medical services,Referred medical services,Canadian Government,DoHAC and other,"28,70,26,778.63","30,69,08,534.80"
2018-19,Tas,Referred medical services,Referred medical services,Canadian Government,Premium rebates,"1,41,85,027.75","1,51,67,595.53"
2018-19,Tas,Referred medical services,Referred medical services,Non-government,Health insurance funds,"4,12,54,010.16","4,41,11,590.81"
2018-19,Tas,Referred medical services,Referred medical services,Non-government,Individuals,"5,06,95,398.30","5,42,06,964.55"
2018-19,Tas,Research,Research,Canadian Government,Department of Veterans' Affairs,0,0
2018-19,Tas,Research,Research,Canadian Government,DoHAC and other,"6,67,86,049.06","7,14,43,807.72"
2018-19,Tas,Research,Research,Non-government,Other source of funds,"26,23,340.78","28,06,296.48"
2018-19,Tas,Research,Research,State and local government,State and local government,"50,52,125.30","54,04,468.05"
2018-19,Vic,Capital expenditure,Capital expenditure,Canadian Government,DoHAC and other,"4,27,18,903.10","4,38,59,931.79"
2018-19,Vic,Capital expenditure,Capital expenditure,Non-government,Other source of funds,"1,52,59,11,992.07","1,64,93,20,257.32"
2018-19,Vic,Capital expenditure,Capital expenditure,State and local government,State and local government,"97,10,00,000.00","1,01,88,61,570.10"
2018-19,Vic,Hospitals,Private hospitals,Canadian Government,Department of Veterans' Affairs,"15,45,15,990.20","16,63,59,253.43"
2018-19,Vic,Hospitals,Private hospitals,Canadian Government,DoHAC and other,"10,69,12,803.98","11,51,05,135.71"
2018-19,Vic,Hospitals,Private hospitals,Canadian Government,Premium rebates,"75,86,45,893.74","81,67,94,199.32"
2018-19,Vic,Hospitals,Private hospitals,Non-government,Health insurance funds,"2,20,63,53,484.22","2,37,54,64,946.76"
2018-19,Vic,Hospitals,Private hospitals,Non-government,Individuals,"68,04,75,598.72","73,26,32,347.19"
2018-19,Vic,Hospitals,Private hospitals,Non-government,Other source of funds,"40,66,75,224.13","43,78,45,860.39"
2018-19,Vic,Hospitals,Public hospital services,Canadian Government,Department of Veterans' Affairs,"8,30,08,978.81","8,93,71,408.91"
2018-19,Vic,Hospitals,Public hospital services,Canadian Government,DoHAC and other,"5,84,91,31,820.31","6,29,72,82,029.31"
2018-19,Vic,Hospitals,Public hospital services,Canadian Government,Premium rebates,"6,75,80,579.84","7,27,60,461.84"
2018-19,Vic,Hospitals,Public hospital services,Non-government,Health insurance funds,"19,65,43,142.23","21,16,07,681.29"
2018-19,Vic,Hospitals,Public hospital services,Non-government,Individuals,"38,32,21,549.07","41,25,94,519.95"
2018-19,Vic,Hospitals,Public hospital services,Non-government,Other source of funds,"47,83,22,583.85","51,49,84,810.60"
2018-19,Vic,Hospitals,Public hospital services,State and local government,State and local government,"8,70,85,45,982.55","9,37,60,34,197.02"
2018-19,Vic,Medical expenses tax rebate,Medical expenses tax rebate,Canadian Government,DoHAC and other,"1,30,20,000.00","1,41,10,501.41"
2018-19,Vic,Medical expenses tax rebate,Medical expenses tax rebate,Non-government,Individuals,"-1,30,20,000.00","-1,41,10,501.41"
2018-19,Vic,Other services,Administration,Canadian Government,Department of Veterans' Affairs,0,0
2018-19,Vic,Other services,Administration,Canadian Government,DoHAC and other,"49,56,26,429.96","53,66,06,389.24"
2018-19,Vic,Other services,Administration,Canadian Government,Premium rebates,"13,64,68,901.03","14,78,98,972.39"
2018-19,Vic,Other services,Administration,Non-government,Health insurance funds,"39,68,89,560.43","43,01,31,390.34"
2018-19,Vic,Other services,Administration,State and local government,State and local government,"-4,00,000.00","-4,33,502.35"
2018-19,Vic,Other services,Aids and appliances,Canadian Government,Department of Veterans' Affairs,"2,12,390.00","2,26,953.81"
2018-19,Vic,Other services,Aids and appliances,Canadian Government,DoHAC and other,"16,00,54,780.44","17,10,29,906.35"
2018-19,Vic,Other services,Aids and appliances,Canadian Government,Premium rebates,"5,40,09,587.98","5,77,13,082.67"
2018-19,Vic,Other services,Aids and appliances,Non-government,Health insurance funds,"15,70,74,919.42","16,78,45,713.10"
2018-19,Vic,Other services,Aids and appliances,Non-government,Individuals,"93,74,41,686.71","1,00,17,23,056.63"
2018-19,Vic,Other services,Aids and appliances,Non-government,Other source of funds,"3,89,03,620.78","4,15,71,283.28"
2018-19,Vic,Other services,Patient transport services,Canadian Government,Department of Veterans' Affairs,"2,30,61,011.78","2,48,28,580.51"
2018-19,Vic,Other services,Patient transport services,Canadian Government,DoHAC and other,"8,15,572.63","8,78,084.22"
2018-19,Vic,Other services,Patient transport services,Canadian Government,Premium rebates,"1,27,37,365.89","1,37,13,653.05"
2018-19,Vic,Other services,Patient transport services,Non-government,Health insurance funds,"3,70,43,806.39","3,98,83,121.27"
2018-19,Vic,Other services,Patient transport services,Non-government,Individuals,"31,56,51,000.00","33,98,44,857.71"
2018-19,Vic,Other services,Patient transport services,Non-government,Other source of funds,"97,18,541.30","1,04,63,443.13"
2018-19,Vic,Other services,Patient transport services,State and local government,State and local government,"74,66,38,197.42","80,38,66,143.19"
2018-19,Vic,Primary health care,All other medications,Canadian Government,DoHAC and other,"19,81,50,135.33","20,35,89,295.60"
2018-19,Vic,Primary health care,All other medications,Canadian Government,Premium rebates,"27,14,512.13","27,89,556.57"
2018-19,Vic,Primary health care,All other medications,Non-government,Health insurance funds,"78,94,557.07","81,12,807.19"
2018-19,Vic,Primary health care,All other medications,Non-government,Individuals,"2,72,33,75,387.47","2,83,98,35,912.90"
2018-19,Vic,Primary health care,All other medications,Non-government,Other source of funds,"2,86,37,613.21","2,94,29,318.52"
2018-19,Vic,Primary health care,Benefit-paid pharmaceuticals,Canadian Government,Department of Veterans' Affairs,"5,35,86,909.13","6,05,27,465.43"
2018-19,Vic,Primary health care,Benefit-paid pharmaceuticals,Canadian Government,DoHAC and other,"2,25,75,16,172.49","2,54,61,62,423.57"
2018-19,Vic,Primary health care,Benefit-paid pharmaceuticals,Non-government,Individuals,"37,30,65,839.66","42,13,85,186.74"
2018-19,Vic,Primary health care,Community health and other,Canadian Government,DoHAC and other,"29,12,99,501.66","31,54,98,267.75"
2018-19,Vic,Primary health care,Community health and other,Canadian Government,Premium rebates,"47,278.77","51,238.64"
2018-19,Vic,Primary health care,Community health and other,Non-government,Health insurance funds,"1,37,499.82","1,49,016.24"
2018-19,Vic,Primary health care,Community health and other,Non-government,Individuals,"1,13,05,268.38","1,22,52,150.96"
2018-19,Vic,Primary health care,Community health and other,Non-government,Other source of funds,"1,71,62,518.18","1,85,99,979.80"
2018-19,Vic,Primary health care,Community health and other,State and local government,State and local government,"85,70,04,795.39","92,87,83,976.52"
2018-19,Vic,Primary health care,Dental services,Canadian Government,Department of Veterans' Affairs,"1,18,46,265.12","1,27,21,324.20"
2018-19,Vic,Primary health care,Dental services,Canadian Government,DoHAC and other,"10,66,08,215.50","11,44,83,140.02"
2018-19,Vic,Primary health care,Dental services,Canadian Government,Premium rebates,"14,41,15,239.29","15,47,60,733.64"
2018-19,Vic,Primary health care,Dental services,Non-government,Health insurance funds,"41,91,27,241.01","45,00,87,302.53"
2018-19,Vic,Primary health care,Dental services,Non-government,Individuals,"2,25,40,42,297.76","2,42,05,43,735.49"
2018-19,Vic,Primary health care,Dental services,Non-government,Other source of funds,"1,28,58,113.27","1,38,07,915.47"
2018-19,Vic,Primary health care,Dental services,State and local government,State and local government,"16,72,87,870.18","17,96,45,078.80"
2018-19,Vic,Primary health care,Other health practitioners,Canadian Government,Department of Veterans' Affairs,"4,25,74,297.76","4,56,82,052.09"
2018-19,Vic,Primary health care,Other health practitioners,Canadian Government,DoHAC and other,"48,77,34,381.28","52,33,37,050.38"
2018-19,Vic,Primary health care,Other health practitioners,Canadian Government,Premium rebates,"7,09,13,074.84","7,60,89,447.13"
2018-19,Vic,Primary health care,Other health practitioners,Non-government,Health insurance funds,"20,62,34,965.54","22,12,89,297.40"
2018-19,Vic,Primary health care,Other health practitioners,Non-government,Individuals,"81,82,68,101.35","87,79,98,416.79"
2018-19,Vic,Primary health care,Other health practitioners,Non-government,Other source of funds,"15,93,33,687.77","17,09,64,412.98"
2018-19,Vic,Primary health care,Public health,Canadian Government,DoHAC and other,"34,14,16,695.10","36,76,53,456.39"
2018-19,Vic,Primary health care,Public health,Non-government,Individuals,"13,50,090.69","14,53,571.75"
2018-19,Vic,Primary health care,Public health,Non-government,Other source of funds,"12,12,170.89","13,05,080.75"
2018-19,Vic,Primary health care,Public health,State and local government,State and local government,"36,43,38,794.70","39,22,64,449.80"
2018-19,Vic,Primary health care,Unreferred medical services,Canadian Government,Department of Veterans' Affairs,"1,76,40,663.44","1,90,08,057.62"
2018-19,Vic,Primary health care,Unreferred medical services,Canadian Government,DoHAC and other,"2,35,67,27,607.28","2,53,93,32,216.73"
2018-19,Vic,Primary health care,Unreferred medical services,Non-government,Individuals,"22,84,18,249.47","24,61,23,807.16"
2018-19,Vic,Primary health care,Unreferred medical services,Non-government,Other source of funds,"24,44,74,551.82","26,34,24,693.89"
2018-19,Vic,Referred medical services,Referred medical services,Canadian Government,Department of Veterans' Affairs,"9,21,26,708.20","9,92,67,795.87"
2018-19,Vic,Referred medical services,Referred medical services,Canadian Government,DoHAC and other,"3,58,07,44,002.97","3,85,83,00,939.24"
2018-19,Vic,Referred medical services,Referred medical services,Canadian Government,Premium rebates,"16,18,48,200.12","17,43,93,662.89"
2018-19,Vic,Referred medical services,Referred medical services,Non-government,Health insurance funds,"47,06,99,628.39","50,71,85,327.07"
2018-19,Vic,Referred medical services,Referred medical services,Non-government,Individuals,"80,36,62,563.72","86,59,57,471.93"
2018-19,Vic,Research,Research,Canadian Government,Department of Veterans' Affairs,0,0
2018-19,Vic,Research,Research,Canadian Government,DoHAC and other,"1,41,96,51,785.35","1,53,85,55,953.91"
2018-19,Vic,Research,Research,Non-government,Individuals,"55,200.63","59,824.01"
2018-19,Vic,Research,Research,Non-government,Other source of funds,"11,54,62,853.19","12,51,33,544.77"
2018-19,Vic,Research,Research,State and local government,State and local government,"10,31,00,920.14","11,17,36,227.27"
2018-19,WA,Capital expenditure,Capital expenditure,Canadian Government,DoHAC and other,"1,30,73,457.40","1,39,47,354.50"
2018-19,WA,Capital expenditure,Capital expenditure,Non-government,Other source of funds,"60,90,27,426.64","67,95,57,750.09"
2018-19,WA,Capital expenditure,Capital expenditure,State and local government,State and local government,"20,60,00,000.00","22,44,01,524.94"
2018-19,WA,Hospitals,Private hospitals,Canadian Government,Department of Veterans' Affairs,"6,69,34,732.53","7,02,32,079.65"
2018-19,WA,Hospitals,Private hospitals,Canadian Government,DoHAC and other,"6,81,98,376.52","7,15,58,291.97"
2018-19,WA,Hospitals,Private hospitals,Canadian Government,Premium rebates,"35,07,19,688.77","36,79,96,885.73"
2018-19,WA,Hospitals,Private hospitals,Non-government,Health insurance funds,"1,01,99,90,503.73","1,07,02,37,402.88"
2018-19,WA,Hospitals,Private hospitals,Non-government,Individuals,"33,45,34,596.18","35,10,14,481.09"
2018-19,WA,Hospitals,Private hospitals,Non-government,Other source of funds,"17,76,94,582.57","18,64,48,195.21"
2018-19,WA,Hospitals,Private hospitals,State and local government,State and local government,"96,37,68,508.33","1,01,12,45,792.54"
2018-19,WA,Hospitals,Public hospital services,Canadian Government,Department of Veterans' Affairs,"5,70,15,159.26","5,98,23,847.13"
2018-19,WA,Hospitals,Public hospital services,Canadian Government,DoHAC and other,"2,48,16,53,763.26","2,60,39,29,341.96"
2018-19,WA,Hospitals,Public hospital services,Canadian Government,Premium rebates,"2,41,21,249.46","2,53,09,513.45"
2018-19,WA,Hospitals,Public hospital services,Non-government,Health insurance funds,"7,01,51,309.37","7,36,07,111.90"
2018-19,WA,Hospitals,Public hospital services,Non-government,Individuals,"27,09,76,019.01","28,43,24,873.39"
2018-19,WA,Hospitals,Public hospital services,Non-government,Other source of funds,"4,00,00,068.29","4,19,70,556.64"
2018-19,WA,Hospitals,Public hospital services,State and local government,State and local government,"3,09,45,36,781.38","3,24,69,80,237.46"
2018-19,WA,Medical expenses tax rebate,Medical expenses tax rebate,Canadian Government,DoHAC and other,"42,50,000.00","44,60,487.98"
2018-19,WA,Medical expenses tax rebate,Medical expenses tax rebate,Non-government,Individuals,"-42,50,000.00","-44,60,487.98"
2018-19,WA,Other services,Administration,Canadian Government,Department of Veterans' Affairs,0,0
2018-19,WA,Other services,Administration,Canadian Government,DoHAC and other,"19,53,43,235.67","20,50,77,085.51"
2018-19,WA,Other services,Administration,Canadian Government,Premium rebates,"6,72,15,384.54","7,05,44,332.95"
2018-19,WA,Other services,Administration,Non-government,Health insurance funds,"19,54,81,052.63","20,51,62,561.46"
2018-19,WA,Other services,Administration,Non-government,Individuals,"1,21,31,240.86","1,27,32,059.78"
2018-19,WA,Other services,Administration,Non-government,Other source of funds,"17,90,750.58","18,79,440.34"
2018-19,WA,Other services,Administration,State and local government,State and local government,"53,43,21,821.79","56,07,84,956.52"
2018-19,WA,Other services,Aids and appliances,Canadian Government,Department of Veterans' Affairs,"1,77,200.00","1,89,350.79"
2018-19,WA,Other services,Aids and appliances,Canadian Government,DoHAC and other,"6,25,55,761.64","6,68,45,276.51"
2018-19,WA,Other services,Aids and appliances,Canadian Government,Premium rebates,"3,31,08,498.36","3,53,78,783.18"
2018-19,WA,Other services,Aids and appliances,Non-government,Health insurance funds,"9,62,88,731.44","10,28,91,351.80"
2018-19,WA,Other services,Aids and appliances,Non-government,Individuals,"58,75,56,696.25","62,78,46,081.58"
2018-19,WA,Other services,Aids and appliances,Non-government,Other source of funds,"3,54,11,225.26","3,78,39,410.50"
2018-19,WA,Other services,Patient transport services,Canadian Government,Department of Veterans' Affairs,"68,70,404.51","72,08,855.23"
2018-19,WA,Other services,Patient transport services,Canadian Government,DoHAC and other,"4,01,68,238.01","4,21,47,010.75"
2018-19,WA,Other services,Patient transport services,Canadian Government,Premium rebates,"1,11,53,554.38","1,17,03,002.16"
2018-19,WA,Other services,Patient transport services,Non-government,Health insurance funds,"3,24,37,641.55","3,40,35,588.69"
2018-19,WA,Other services,Patient transport services,Non-government,Individuals,"32,49,672.29","34,09,758.05"
2018-19,WA,Other services,Patient transport services,Non-government,Other source of funds,"95,89,440.41","1,00,61,836.62"
