Year,Jurisdiction,Sector,Area of expenditure,Broad source of funds,Source of funds,Current amount ($),Constant amount ($)
2011-12,Vic,Primary health care,Dental services,State and local government,State and local government,"15,30,61,239.53","19,60,91,905.48"
2011-12,Vic,Primary health care,Other health practitioners,Canadian Government,Department of Veterans' Affairs,"4,35,28,147.74","5,82,46,382.71"
2011-12,Vic,Primary health care,Other health practitioners,Canadian Government,DoHAC and other,"29,09,11,642.14","38,68,87,335.79"
2011-12,Vic,Primary health care,Other health practitioners,Canadian Government,Premium rebates,"6,43,42,827.35","8,60,99,159.77"
2011-12,Vic,Primary health care,Other health practitioners,Non-government,Health insurance funds,"12,51,64,666.15","16,74,86,774.08"
2011-12,Vic,Primary health care,Other health practitioners,Non-government,Individuals,"79,00,40,425.08","1,05,71,77,926.16"
2011-12,Vic,Primary health care,Other health practitioners,Non-government,Other source of funds,"11,81,14,575.02","15,80,52,825.53"
2011-12,Vic,Primary health care,Public health,Canadian Government,DoHAC and other,"33,63,20,057.58","43,05,42,532.09"
2011-12,Vic,Primary health care,Public health,Non-government,Other source of funds,0,0
2011-12,Vic,Primary health care,Public health,State and local government,State and local government,"16,78,36,741.59","21,48,90,249.20"
2011-12,Vic,Primary health care,Unreferred medical services,Canadian Government,Department of Veterans' Affairs,"2,14,69,736.65","2,51,93,429.06"
2011-12,Vic,Primary health care,Unreferred medical services,Canadian Government,DoHAC and other,"1,75,46,25,934.90","2,09,58,28,387.33"
2011-12,Vic,Primary health care,Unreferred medical services,Non-government,Individuals,"16,55,66,478.00","19,42,82,183.70"
2011-12,Vic,Primary health care,Unreferred medical services,Non-government,Other source of funds,"17,28,25,901.27","20,28,00,675.01"
2011-12,Vic,Referred medical services,Referred medical services,Canadian Government,Department of Veterans' Affairs,"11,21,23,683.40","13,15,70,317.37"
2011-12,Vic,Referred medical services,Referred medical services,Canadian Government,DoHAC and other,"2,56,09,90,129.00","3,00,51,66,025.75"
2011-12,Vic,Referred medical services,Referred medical services,Canadian Government,Premium rebates,"15,83,46,924.89","18,58,10,477.59"
2011-12,Vic,Referred medical services,Referred medical services,Non-government,Health insurance funds,"30,80,28,739.21","36,14,52,975.37"
2011-12,Vic,Referred medical services,Referred medical services,Non-government,Individuals,"50,30,38,970.90","59,02,85,611.75"
2011-12,Vic,Research,Research,Canadian Government,DoHAC and other,"1,11,69,80,696.75","1,47,10,34,250.65"
2011-12,Vic,Research,Research,Non-government,Other source of funds,"6,41,05,540.31","8,44,83,460.42"
2011-12,Vic,Research,Research,State and local government,State and local government,"3,72,44,913.37","4,87,95,475.49"
2011-12,WA,Capital expenditure,Capital expenditure,Canadian Government,DoHAC and other,"1,91,89,019.50","1,98,57,385.94"
2011-12,WA,Capital expenditure,Capital expenditure,Non-government,Other source of funds,"25,60,35,009.80","31,00,52,767.25"
2011-12,WA,Capital expenditure,Capital expenditure,State and local government,State and local government,"1,16,00,00,000.00","1,31,40,30,601.84"
2011-12,WA,Hospitals,Private hospitals,Canadian Government,Department of Veterans' Affairs,"8,55,20,132.09","10,62,61,088.43"
2011-12,WA,Hospitals,Private hospitals,Canadian Government,DoHAC and other,"3,38,33,597.08","4,20,26,303.84"
2011-12,WA,Hospitals,Private hospitals,Canadian Government,Premium rebates,"30,86,46,773.31","38,35,02,004.37"
2011-12,WA,Hospitals,Private hospitals,Non-government,Health insurance funds,"60,04,30,475.17","74,60,51,184.17"
2011-12,WA,Hospitals,Private hospitals,Non-government,Individuals,"8,07,18,129.78","10,02,94,470.05"
2011-12,WA,Hospitals,Private hospitals,Non-government,Other source of funds,"55,53,565.30","69,00,455.82"
2011-12,WA,Hospitals,Private hospitals,State and local government,State and local government,"37,43,27,000.02","46,51,11,471.15"
2011-12,WA,Hospitals,Public hospital services,Canadian Government,Department of Veterans' Affairs,"6,38,08,236.27","7,92,83,467.77"
2011-12,WA,Hospitals,Public hospital services,Canadian Government,DoHAC and other,"1,47,75,29,108.69","1,83,57,40,303.16"
2011-12,WA,Hospitals,Public hospital services,Canadian Government,Premium rebates,"1,89,42,584.17","2,35,36,675.66"
2011-12,WA,Hospitals,Public hospital services,Non-government,Health insurance funds,"3,68,50,230.75","4,57,87,413.24"
2011-12,WA,Hospitals,Public hospital services,Non-government,Individuals,0,0
2011-12,WA,Hospitals,Public hospital services,Non-government,Other source of funds,"5,88,24,929.12","7,30,91,573.20"
2011-12,WA,Hospitals,Public hospital services,State and local government,State and local government,"2,62,95,52,387.21","3,26,64,83,775.65"
2011-12,WA,Medical expenses tax rebate,Medical expenses tax rebate,Canadian Government,DoHAC and other,"2,46,86,848.15","3,14,04,765.56"
2011-12,WA,Medical expenses tax rebate,Medical expenses tax rebate,Non-government,Individuals,"-2,46,86,848.15","-3,14,04,765.56"
2011-12,WA,Other services,Administration,Canadian Government,DoHAC and other,"13,60,78,767.56","17,17,01,454.12"
2011-12,WA,Other services,Administration,Canadian Government,Premium rebates,"6,07,55,939.01","7,72,89,170.70"
2011-12,WA,Other services,Administration,Non-government,Health insurance funds,"11,81,87,172.29","15,03,48,898.95"
2011-12,WA,Other services,Administration,Non-government,Other source of funds,"2,98,902.14","3,71,394.03"
2011-12,WA,Other services,Administration,State and local government,State and local government,"10,47,19,688.10","13,00,91,204.39"
2011-12,WA,Other services,Aids and appliances,Canadian Government,Department of Veterans' Affairs,"4,94,425.18","5,66,432.21"
2011-12,WA,Other services,Aids and appliances,Canadian Government,DoHAC and other,"4,20,14,162.76","5,21,95,731.67"
2011-12,WA,Other services,Aids and appliances,Canadian Government,Premium rebates,"2,67,25,414.66","3,06,17,647.13"
